diag_ref,catalog,code,diag_descr
6000001,12,M15.4,(osteo)artrosis erosiva
6000002,1,715.09,(osteo)artrosis primaria generalizada
6000003,12,M15.0,(osteo)artrosis primaria generalizada
6000004,12,Z3A.11,11 semanas de gestación
6000005,12,Z3A.22,22 semanas de gestación
6000006,12,Z3A.23,23 semanas de gestación
6000007,1,765.22,"24 semanas completas de gestacion, recien nacido"
6000008,1,765.23,"25 26 semanas completas de gestacion, recien nacido"
6000009,1,765.24,"27 28 semanas completas de gestacion, recien nacido "
6000010,1,765.25,"29 30 semanas completas de gestacion, recien nacido "
6000011,12,Z3A.30,30 semanas de gestación
6000012,1,765.26,"31 32 semanas completas de gestacion, recien nacido "
6000013,12,Z3A.31,31 semanas de gestación
6000014,12,Z3A.32,32 semanas de gestación
6000015,1,765.27,"33 34 semanas completas de gestacion, recien nacido"
6000016,12,Z3A.33,33 semanas de gestación
6000017,12,Z3A.34,34 semanas de gestación
6000018,1,765.28,"35 36 semanas completas de gestacion, recien nacido "
6000019,1,765.29,"37 o mas semanas completas de gestacion, recien nacido"
6000020,12,Z3A.37,37 semanas de gestación
6000021,12,Z3A.38,38 semanas de gestación
6000022,12,Z3A.39,39 semanas de gestación
6000023,12,Z3A.40,40 semanas de gestación
6000024,12,Z3A.41,41 semanas de gestación
6000025,12,R10.0,Abdomen agudo
6000026,1,V44.9,"Abertura artificial, no especificada"
6000027,1,629.81,Abortadora habitual
6000028,12,N96,Abortadora habitual
6000029,1,634.41,Aborto espontaneo con alteracion metabolica incompleto
6000030,1,634.82,Aborto espontaneo con complicacion neom completo
6000031,1,634.81,Aborto espontaneo con complicacion neom incompleto
6000032,1,634.21,Aborto espontaneo con daños a organ/tej. pelvicos incompleto
6000033,1,634.31,Aborto espontaneo con fallo renal incompleto
6000034,1,634.51,Aborto espontaneo con shock incompleto
6000035,1,634.72,Aborto espontaneo/otras complicaciones especific. completo
6000036,1,634.71,Aborto espontaneo/otras complicaciones especific. incompleto
6000037,1,636.41,Aborto ilegal con enfermedad metabolica incompleto
6000038,1,636.31,Aborto ilegal con insuficiencia renal incompleto
6000039,1,636.91,Aborto ilegal sin complicacion incompleto
6000040,1,635.82,Aborto legal con complicacion neom completo
6000041,1,635.81,Aborto legal con complicacion neom incompleto
6000042,1,635.21,Aborto legal con daños a organos o tejidos pelvicos incompleto
6000043,1,635.72,Aborto legal con otra complicacion especificada completo
6000044,1,635.71,Aborto legal con otra complicacion especificada incompleto
6000045,1,635.7,Aborto legal con otras complicaciones especificadas
6000046,1,635.52,Aborto legal con shock completo
6000047,1,635.51,Aborto legal con shock incompleto
6000048,1,635.9,Aborto legal sin complicacion
6000049,1,635.92,Aborto legal sin complicacion completo
6000050,1,635.91,Aborto legal sin complicacion incompleto
6000051,1,637.22,Aborto neom con daños a organos o tejidos pelvicos completo
6000052,1,637.21,Aborto neom con daños a organos o tejidos pelvicos incompleto
6000053,1,637.72,Aborto neom con otra complicacion especificada completo
6000054,1,637.71,Aborto neom con otra complicacion especificada incompleto
6000055,1,637.51,Aborto neom con shock incompleto
6000056,1,637.92,Aborto neom sin complicacion completo
6000057,1,637.91,Aborto neom sin complicacion incompleto
6000058,1,637.9,Aborto neom sin complicacion neom
6000059,1,632,Aborto retenido
6000060,12,O02.1,Aborto retenido
6000061,1,911.1,Abrasion o quemadura de tronco infectada
6000062,1,911.0,Abrasion o quemadura de tronco sin infeccion
