lab_sap_ref,lab_descr,units,lab_ref
19230,INDEX SAT.TRANSFERRI,%,4123
20917,Ac T.cruzi,N.D.,4124
21261,CRYPTO.Ag SER.,N.D.,4125
55599,OSMOL p,N.D.,4126
AHEPD,A-N.HEP2 DIL,N.D.,4127
AHEPP,A-N-HEP2 PATRON,N.D.,4128
B113T,LDL NO CALCULABLE,N.D.,4129
B134T,CKMB NO PROCEDEIX,N.D.,4130
B194,MAGNESI ORINA NE,mg/dL,4131
B469,ZINC ORINA NE,äg/dL,4132
B486,CITRATURIA CONC,mg/L,4133
B50,3 METIL HISTIDINA,µmol/L,5004
B625,CP99,N.D.,4134
B628,CP93,N.D.,4135
B634,CP13,N.D.,4136
CB2M,CP69,N.D.,4137
CMYH,NUMERO MYH INDICE,N.D.,4138
COAPO,COMENTARI,N.D.,4139
COCMO,COMENTARI,N.D.,4140
COHFE,COMENTARI,N.D.,4141
COHO1,coho1,N.D.,4142
COMAT,COMENTARI,N.D.,4143
COMSP,COMENTARI,N.D.,4144
COPAI,COMENTARI,N.D.,4145
COSPH,COMENTARI,N.D.,4146
COWIL,COMENTARI,N.D.,4147
CP23,CP23,N.D.,4148
CPFAI,NUMERO PAF INDICE,N.D.,4149
CSEDI,COMENTARI SEDIMENT,N.D.,4150
CULOR,URINOCULTIU,N.D.,4151
DIUAS,DIURESI ACIDA,mL,4152
ETCUO,2ª ETIQ. CULOR,N.D.,4153
FINAL,------,N.D.,4154
GFF,GFF,N.D.,4932
GFH,GFH,N.D.,4933
GLYP,GLICINA (GLY),ämol/L,4155
HEC1,HEMOCULTIU (1),N.D.,4156
HEC2,HEMOCULTIU (2),N.D.,4157
HPYL,Ac.anti-H.pylori,N.D.,4158
INCID,INCIDENCIA MER,N.D.,4986
LAB00ARF,Gen AR-mutación concreta (caso,N.D.,4159
LAB0AVPF,Gen AVP-mutación concreta (cas,N.D.,4160
LAB0GH1F,Gen GH1-mutación concreta (cas,N.D.,4161
LAB0SDHF,Gen SDH-mutació concreta (cas,N.D.,1
LAB0VHLF,Gen VHL-mutación concreta (cas,N.D.,4162
LAB110,Urea,mg/dL,2
LAB1100,Tiempo de protombina segundos,seg,3
LAB1101,Tiempo de tromboplastina parcial,seg,4
LAB1102,Fibrinogeno,g/L,5
LAB1103,Temps de trombina,N.D.,6
LAB1104,Temps de reptilase,N.D.,7
LAB1105,PDF,N.D.,8
LAB1106,Plaquetes citrat. Recompte,10^9/L,9
LAB1107,Antitrombina III,%,10
LAB1108,Anticoagulante tipo Lupus,N.D.,11
LAB1109,Ac IgG anticardiolipina,N.D.,12
LAB1110,Ac IgM anticardiolipina,N.D.,13
LAB1111,Grup ABO,N.D.,14
LAB1112,Rh (D),N.D.,15
LAB1118,Tiempo de protombina %,%,16
LAB1173,INR,N.D.,17
LAB11ANDRO,11ß-OH-androsterona,µg/24h,18
LAB11ETIOO,11ß-OH-etiocolanolona,µg/24h,19
LAB11OXOO,11-oxo-etiocolanolona,µg/24h,20
LAB11THAO,Tetrahidro-11-dehidrocorticost,N.D.,21
LAB1215,"Urea,orina",N.D.,22
LAB1225,"Urat,orina recent",N.D.,23
LAB1255,"Magnesi,orina",N.D.,24
LAB1300,Leucocitos recuento,10^9/L,25
LAB1301,Plaquetas recuento,10^9/L,26
LAB1302,VPM Volumen Plaquetario Medio,fl,27
LAB1303,PDW Platelet Distribut Width,%,28
LAB1304,Plaquetòcrit,N.D.,29
LAB1305,Hematias recuento,10^12/L,30
LAB1306,Neutrofilos % analizado,%,31
LAB1307,Neutrofilos absoluto analizado,10^9/L,32
LAB1308,Linfocitos % analizado,%,33
LAB1309,Linfocitos absoluto analizado,10^9/L,34
LAB1310,Monocitos % analizado,%,35
LAB1311,Monocitos absoluto analizado,10^9/L,36
LAB1312,Eosinofilos % analizado,%,37
LAB1313,Eosinofilos absolutos analizado,10^9/L,38
LAB1314,Hemoglobina concentracion,g/L,39
LAB1315,Basofilos % analizado,%,40
LAB1316,Basofilos absolutos analizado,10^9/L,41
LAB1317,LUC % analizado,%,42
LAB1318,LUC absoluto analizado,10^9/L,43
LAB1319,Hematocrito sangre,L/L,44
LAB132,Bilirrubina neonatal capilar,mg/dL,45
LAB1320,VCM,fl,46
LAB1321,HCM hb corpusclar media,pg,47
LAB1322,CCMH concentraciion corpuscal m,g/L,48
LAB1323,RDW Reed Distribut Width,%,49
LAB1324,HDW hb distributiva media,g/L,50
LAB1325,Neutrofilos % manual segmentado,%,51
LAB1326,Neutrofilos % manual no segmenta,%,52
LAB1327,Eosinofilos % manual,%,53
LAB1328,Basofilos % manual,%,54
LAB1329,Linfocitos % manual,%,55
LAB1330,Monocitos % manual,%,56
LAB1331,Metamielòcits,N.D.,57
LAB1332,Mielòcits,N.D.,58
LAB1333,Promielòcits,N.D.,59
LAB1334,Blasts,%,60
LAB1335,Plasmòcits,N.D.,61
LAB1336,Células linfoides reactivas,%,62
LAB1337,Centrócitos,%,63
LAB1338,Centroblasts,%,64
LAB1339,Eritroblastos por ciento leucoci,%,65
LAB1341,ANISOCITOSI,N.D.,4163
LAB1342,MICROCITOSI,N.D.,4164
LAB1343,MACROCITOSI,N.D.,4165
LAB1344,POQUILOCITOSI,N.D.,4166
LAB1346,ESFEROCITS,N.D.,4167
LAB1347,DIANOCITS,N.D.,4168
LAB1348,DACRIOCITS,N.D.,5009
LAB135,Bilirrubina directa,mg/dL,66
LAB1350,ESQUIZOCITS,N.D.,4169
LAB1353,HIPOCROMIA,N.D.,4170
LAB1354,POLICROMASIA,N.D.,4171
