drg_ref,mdc_ref
1,26
1,18
1,8
1,5
1,21
1,14
1,4
1,1
1,11
1,6
1,10
1,7
2,10
2,26
2,5
2,11
2,18
2,8
2,1
3,21
3,11
3,6
3,1
3,18
3,8
3,17
3,16
4,17
4,11
4,14
4,7
4,16
4,5
4,21
4,3
4,8
4,6
4,4
4,18
4,9
4,10
4,1
5,20
5,18
5,1
5,10
5,24
5,17
5,16
5,11
5,19
5,9
5,3
5,4
5,21
5,5
5,7
5,8
5,6
6,26
6,1
6,7
6,11
6,2
6,10
7,17
7,1
7,8
7,16
7,26
7,6
8,16
8,18
8,9
8,1
8,17
8,6
8,23
8,4
8,8
8,26
9,8
9,5
9,18
9,3
9,1
9,21
9,26
9,9
9,17
9,20
9,7
9,6
9,4
10,1
10,26
11,1
11,26
12,26
12,1
13,1
13,26
14,26
14,1
15,26
15,1
16,1
16,26
17,26
17,1
18,1
18,26
19,26
19,1
20,26
20,1
21,26
21,1
22,26
22,1
23,1
23,26
24,1
24,26
25,1
25,26
26,1
27,1
29,1
30,1
34,1
34,26
35,1
35,26
36,2
37,2
38,2
39,2
40,2
40,1
41,1
41,2
42,1
42,2
43,2
43,1
44,1
44,2
45,2
45,1
46,1
46,2
47,2
47,1
48,2
48,1
49,3
49,1
50,3
50,1
51,3
51,1
52,1
52,3
53,1
53,3
54,1
54,3
55,3
55,1
56,1
56,3
57,3
57,1
58,1
58,3
59,1
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,2
70,3
72,3
73,3
73,2
74,3
75,4
76,4
77,4
78,4
79,4
80,4
80,2
82,2
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
89,3
90,4
90,3
91,3
92,4
92,3
93,4
93,3
94,4
95,3
95,4
96,4
97,4
97,3
98,3
99,4
100,4
101,4
102,4
103,18
103,4
103,8
103,27
103,5
104,27
104,5
105,5
105,27
106,27
106,5
107,5
107,27
108,5
108,27
109,5
109,27
110,5
110,27
110,3
111,5
111,27
111,3
112,5
112,27
113,3
113,5
113,27
114,27
114,3
114,5
115,3
115,5
115,27
116,5
116,27
117,5
117,27
118,5
118,27
119,27
119,5
120,4
120,5
120,27
121,5
121,4
121,27
122,27
122,5
123,27
123,5
124,27
124,5
125,5
125,27
126,27
126,5
127,5
127,27
128,5
128,27
129,27
129,5
130,4
130,5
130,27
131,4
131,5
131,27
132,5
132,4
132,27
133,5
133,4
133,27
134,5
134,4
134,27
135,27
135,5
135,4
136,4
136,5
136,27
137,4
137,5
138,5
138,4
138,27
139,5
139,27
139,4
140,4
140,27
140,5
141,4
141,5
141,27
142,4
142,5
142,27
143,5
143,27
143,4
144,5
144,4
144,27
145,5
145,4
145,27
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,6
155,6
157,6
158,6
159,6
160,6
160,5
161,6
161,5
162,5
162,6
163,5
163,6
164,6
165,6
165,5
166,5
166,6
167,6
167,5
168,3
169,3
169,5
170,5
170,6
171,5
171,6
172,6
173,5
173,6
174,6
174,5
175,5
175,6
176,5
176,6
177,5
177,6
178,5
178,6
179,5
179,6
180,5
180,6
181,5
181,6
182,5
182,6
183,6
183,5
185,3
186,3
187,3
188,6
189,6
190,5
191,5
191,7
192,7
192,5
193,7
193,5
194,5
194,4
194,7
