drug_ref,drug_descr,atc_ref,atc_descr
01385C464128183FE1000000AC100155,,A02BC02,Pantoprazol
02415B466A54183FE1000000AC100155,,L02AE04,Triptorelina
04495B466A54183FE1000000AC100155,,N05BA51,"Diazepam, combinaciones con"
06360E5B568698B4E1000000AC160194,,S01ED51,"Timolol, combinaciones con"
06BC07575F402E39E1000000AC100158,,,
08720E5B168DBD8FE1000000AC160194,,L04AX03,"Metrotexato, formulaciones orales"
0BC70B572261AF6BE1000000AC100158,,,
18D35B4692DF7E1EE1000000AC100155,,A06AG04,Glicerol
1B9C145E1688E462E1000000AC16013F,,,
1BD05B4692DF7E1EE1000000AC100155,,R03AC13,Formoterol
1C49165E6426DE57E1000000AC16013F,,,
1DE9165E11D80579E1000000AC16013F,,,
201406573264EF35E1000000AC100158,,,
203F5B466A54183FE1000000AC100155,,S02AA91,Ciprofloxacina
22FB07573A781A4DE1000000AC100158,,,
23B9AA5AED6EC3F2E1000000AC16019D,,,
24490A577166D017E1000000AC100158,,,
25D9AA5A1D414334E1000000AC16019D,,,
2608165E62C19A1AE1000000AC16013F,,,
28AE0657813C381BE1000000AC100158,,,
29CF0B57D54BAA11E1000000AC100158,,,
2B60155EA5B73D5CE1000000AC16013F,,,
2D96165E20D99C7BE1000000AC16013F,,,
2FA80B5715540506E1000000AC100158,,,
320B0F5917867A30E1000000AC1601AE,,,
32A0145E1688E462E1000000AC16013F,,,
36AB0657813C381BE1000000AC100158,,,
378B075777654003E1000000AC100158,,,
3D03045761F97E0CE1000000AC100158,,,
3D6D0B5719111C0EE1000000AC100158,,,
40505B466A54183FE1000000AC100155,,S01KA91,Carmelosa (carboximetilcelulosa)
441307573A781A4DE1000000AC100158,,,
44373C5C69860189E1000000AC1601AB,,,
483C5B466A54183FE1000000AC100155,,S02AA91,Ciprofloxacina
4BEFF86354525026E1000000AC160194,,,
528F0757FA686B0CE1000000AC100158,,,
537906577F285422E1000000AC10015B,,,
539A145E1688E462E1000000AC16013F,,,
53D39B4991DBE03AE1000000AC100156,,D02AC91,Vaselina
543F5B466A54183FE1000000AC100155,,S02AA91,Ciprofloxacina
54A2145E1688E462E1000000AC16013F,,,
55A107575F402E39E1000000AC100158,,,
5B365C464128183FE1000000AC100155,,A02BC02,Pantoprazol
5CCE165EA7E4B01EE1000000AC16013F,,,
5E440757FA686B0CE1000000AC100158,,,
5E550B57010B975DE1000000AC100158,,,
5E670657BF62A33DE1000000AC100158,,,
6020155EA5B73D5CE1000000AC16013F,,,
60BBD95AECB57A97E1000000AC16013E,,,
66315C461C27EF6FE1000000AC100155,,A02BC02,Pantoprazol
687E69468AA14C38E1000000AC100152,,,
6A395C461C27EF6FE1000000AC100155,,A02BC02,Pantoprazol
6E340E5B2E8EBC31E1000000AC160194,,L04AX03,"Metrotexato, formulaciones orales"
770BD05A436005F9E1000000AC160194,,,
77340E5B2E8EBC31E1000000AC160194,,L04AX03,"Metrotexato, formulaciones orales"
7A375B466A54183FE1000000AC100155,,A02BC02,Pantoprazol
7D17165E11D80579E1000000AC16013F,,,
7ECE0757C145870CE1000000AC100158,,,
816E0657BF62A33DE1000000AC100158,,,
81B407575F402E39E1000000AC100158,,,
82F7165E6426DE57E1000000AC16013F,,,
899E05579B05A352E1000000AC100158,,,
8A18165E11D80579E1000000AC16013F,,,
92FA165E6426DE57E1000000AC16013F,,,
9440135E73316506E1000000AC16013F,,,
9D1007573A781A4DE1000000AC100158,,,
9EF307571D82D017E1000000AC100158,,,
A7C3A0577C69D27FE1000000AC100158,,L01XE31,Nintedanib
A83F5B466A54183FE1000000AC100155,,R03AC13,Formoterol
A93B5C464128183FE1000000AC100155,,A02BC02,Pantoprazol
A99F05579B05A352E1000000AC100158,,,
B183165E20D99C7BE1000000AC16013F,,,
B5CE5B4692DF7E1EE1000000AC100155,,R03BA02,Budesonida
BCCE0B572261AF6BE1000000AC100158,,,
C0700E5B168DBD8FE1000000AC160194,,L04AX03,"Metrotexato, formulaciones orales"
C2D10A575203D755E1000000AC100158,,,
C4485B466A54183FE1000000AC100155,,B03AA07,Ferroso sulfato
C4D8D95A93D8ECA0E1000000AC16013E,,,
C6485B463DE6CF55E1000000AC100155,,J01DD02,Ceftazidima
C64A5B466A54183FE1000000AC100155,,S02AA91,Ciprofloxacina
C6D80A575203D755E1000000AC100158,,,
CA405B466A54183FE1000000AC100155,,N06AB10,Escitalopram
CEB60657813C381BE1000000AC100158,,,
CF4F0B57010B975DE1000000AC100158,,,
CF7301577F5E860CE1000000AC100158,,,
CFD49B4991DBE03AE1000000AC100156,,A02AH91,Sodio bicarbonato
D172075777654003E1000000AC100158,,,
D1CD0B57B2615701E1000000AC100158,,,
D2560B57010B975DE1000000AC100158,,,
D6485B463DE6CF55E1000000AC100155,,J01DD02,Ceftazidima
DDD49B4991DBE03AE1000000AC100156,,M02AA23,Indometacina
DF7705579B05A352E1000000AC100158,,,
E4465B466A54183FE1000000AC100155,,A06AB02,Bisacodilo
E9D19B4991DBE03AE1000000AC100156,,N05CM09,Valerianae radix
ECBD07575F402E39E1000000AC100158,,,
EF370E5B2E8EBC31E1000000AC160194,,L04AX03,"Metrotexato, formulaciones orales"
F082145E1688E462E1000000AC16013F,,,
F146A357AA181F33E1000000AC10014C,,A10BD16,Metformina i canagliflozina
F29209575936860CE1000000AC100158,,,
F6720657BF62A33DE1000000AC100158,,,
F684165EF9E44E08E1000000AC16013F,,,
F7D40A575203D755E1000000AC100158,,,
F8405B466A54183FE1000000AC100155,,G04CA01,Alfuzosina
F9D2165EA7E4B01EE1000000AC16013F,,,
FA6901577F5E860CE1000000AC100158,,,
FCD20B57B2615701E1000000AC100158,,,
8ED4BF5C3E18275EE1000000AC16013F, orgestimato + etinilestradiol,G03AA11,Norgestimato y estrogeno
F2C4CC608066BEC9E1000000AC160182,(ABASAGLAR),A10AE04,Insulina glargina
658BFC5F8E18C568E1000000AC160194,(AIMOVIG),N02CD01,ERENUMAB
482DBD60483CCF27E1000000AC16013E,(AJOVY),N02CD03,FREMANEZUMAB
810251627CE3E313E1000000AC1601AE,(AJOVY),N02CD03,FREMANEZUMAB
DDFDD75E9D5C0D7AE1000000AC160194,(ALOFISEL),L04AX08,DARVADSTROCEL
1D914260CB273945E1000000AC1601AE,(ATRIANCE),L01BB07,Nelarabina
0D23A8623E32BD83E1000000AC1601AE,(BEOVU),S01LA06,BROLUCIZUMAB
AFC10160B48DD726E1000000AC1601AE,(botox),M03AX01,"Botulinica, toxina"
347B9A5F0CBC0BAEE1000000AC1601AE,(BUMETANIDA UC),,
6997726264174848E1000000AC1601AB,(BUVIDAL),N02AE01,Buprenorfina
17EE9B614A919298E1000000AC1601AE,(CALQUENCE),L01EL02,ACALABRUTINIB
4F84DD60639AF39CE1000000AC16013E,(CENOBAMATO UC),,
B1F199613009970DE1000000AC1601AE,(CENOBAMATO UC),,
BE97DD60A690C01FE1000000AC16013E,(CENOBAMATO UC),,
94E8DA62D646EAA6E1000000AC1601AB,(CERDELGA),A16AX10,eliglustat
7F2B6D60569AE02DE1000000AC160182,(COLFINAIR),J01XB01,Colistina
59AAC25EED60C796E1000000AC1601AE,(COLOBREATHE),J01XB01,Colistina
5D5AB961E6DF2AEBE1000000AC16019D,(COSENTYX),L04AC10,Secukinumab
F38FD75F1A941731E1000000AC160194,(DARZALEX),L01XC24,Daratumumab
EE17855F06A663B6E1000000AC160194,(DOPS),C01CA,Agentes adrenergicos y dopaminergicos
DA2224604D052663E1000000AC160182,(DUPIXENT),D11AH05,DUPILUMAB
64A94A621BE9A3E2E1000000AC160194,(ENTYVIO),L04AA,Inmunosupresores selectivos
B0CE3563B65CA797E1000000AC16019D,(EPIDYOLEX),N03A,ANTIEPILEPTICOS
B0841A60125EB9A8E1000000AC16013E,(ERELADA),L02BB05,Apalutamida
6F271A60B3713AB3E1000000AC16013E,(EYLEA),L01XX44,Aflibercept
FCD3BA5E406E11D7E1000000AC16013E,(FERROSOL),B03AA,"Hierro bivalente, preparados orales"
3FDD3961ACEF812CE1000000AC160194,(FRESUBIN ENERGY DRINK 200 ML BRICK),V06,NUTRIENTES GENERALES
A3453961A1F16836E1000000AC160194,(FRESUBIN HP ENERGY 500 ML EASYBAG),V06,NUTRIENTES GENERALES
EBE21A6022ACB9A8E1000000AC16013E,(GAMMAGARD),J06BA02,Inmunoglobulinas humanas normales para adm. intravascular
AF6A24600A611360E1000000AC160182,(GAVRETO),,
