micro_ref,micro_descr
MICABAU,Acinetobacter baumannii
MICABIOTAC,Abiotrophia adiacus
MICABIOTAD,Abiotrophia adiacens
MICABIOTDE,Abiotrophia defectiva
MICABSIDSP,Absidia sp
MICACAV,Aeromonas caviae
MICACHANTA,Achanthamoeba sp
MICACHRDEN,Achromobacter denitrificans
MICACHRINS,Achromobacter insolitus
MICACHRMUC,Achromobacter mucicolens
MICACHRSP,Achromobacter spp
MICACHRXYD," Achromobacter xylosoxidans subsp denitri
"
MICACHRXYL,Achromobacter xylosoxidans
MICACIDINT,Acidaminococcus intestini
MICACIDOTE,Acidovorax temperans
MICACINDIS,Acinetobacter dispersus
MICACINEBR,Acinetobacter bereziniae
MICACINECA,Acinetobacter calcoaceticus
MICACINECO," Acinetobacter courvalinii
"
MICACINEDI,Acinetobacter dijkshoorniae
MICACINEGU,Acinetobacter guillouiae
MICACINEHH,Acinetobacter haemolyticus
MICACINEIN," Acinetobacter indicus
"
MICACINEJO,Acinetobacter johnsonii
MICACINEJU,Acinetobacter junii
MICACINENO,Acinetobacter nosocomialis
MICACINEPI,Acinetobacter pittii
MICACINEPR,Acinetobacter proteolyticus
MICACINERA,Acinetobacter radioresistens
MICACINESC,Acinetobacter schindleri
MICACINESP,Acinetobacter sp
MICACINETO,Acinetobacter towneri
MICACINEUR,Acinetobacter urginsii
MICACINEVA,Acinetobacter variabilis
MICACINEVE,Acinetobacter venetianus
MICACRESP,Acremonium sp
MICACTIBAC," Actinobacillus actinomycetemcomitans
"
MICACTIBAU," Actinobacillus ureae
"
MICACTIMAS,Actinobaculum massiliense
MICACTIMDT,Actinomyces dentalis
MICACTIMYE,Actinomyces europaeus
MICACTIMYF,Actinomyces funkei
MICACTIMYN,Actinomyces naeslundii
MICACTIMYO,Actinomyces odontolyticus
MICACTIMYS,Actinomyces sp
MICACTIMYT,Actinomyces turicensis
MICACTIMYU,Actinomyces urogenitalis
MICACTIMYY,Actinomyces meyeri
MICACTINEU,Actinomyces neuii
MICACTINOB," Actinobaculum spp
"
MICACTIORI,Actinomyces oris
MICACTIRAD,Actinomyces radingae
MICACTISAN,Actinotignum sanguinis
MICACTISCH,Actinobaculum schaalii
MICACTSCHA,Actinotignum schaalii
MICADNA,Ancylostoma duodenale/Necator americanus
MICADV," Adenovirus
"
MICAEROCOS," Aerococcus sp
"
MICAEROCOU,Aerococcus urinae
MICAEROCOV,Aerococcus viridans
MICAEROMIC," Aeromonas ichthiosmia
"
MICAEROMJA,Aeromonas jandaei
MICAEROMOH,Aeromonas hydrophila
MICAEROMOO,Aeromonas sobria
MICAEROMOP,Aeromonas sp
MICAEROMOV,Aeromonas veronii
MICAEROSAN,Aerococcus sanguinicola
MICAFLA,Aspergillus flavus
MICAFUM,Aspergillus fumigatus
MICAGGRAPH,Aggregatibacter aphrophilus
MICAGGREGA," Aggregatibacter actinomycetemcomitans
"
MICAGROBRA," Agrobacterium radiobacter
"
MICAGROBTU," Agrobacterium tumefaciens
"
MICAGROMME,Agromyces mediolanus
MICALCALIF,Alcaligenes faecalis
MICALISTFI,Alistipes finegoldii
MICALISTON,Alistipes onderdonkii
MICALISTPU,Alistipes putredinis
MICALISTSH,Alistipes shahii
MICALLOOMN,Alloscardovia omnicolens
MICALLOPRA," Alloprevotella rava
"
MICALTERAL,Alternaria alternata
MICALTERSP,Alternaria sp
MICALWO,Acinetobacter lwoffi
MICAMEB,Amebas
MICANAEHYD," Anaerococcus hydrogenalis
"
MICANAELAC,Anaerococcus lactolyticus
MICANAEMUR,Anaerococcus murdochii
MICANAENAG," Anaerococcus nagyae
"
MICANAESP,Anaerococcus sp
MICANAEVAG,Anaerococcus vaginalis
MICANATRCO,Anaerotruncus colihominis
MICANCYLOD,Ancylostoma duodenale
MICANGITRC,Angiostrongylus cantonensis
MICANIG,Aspergillus niger
MICANISAKP," Anisakis sp
"
MICARCANHA,Arcanobacterium haemolyticum
MICARCOBUT,Arcobacter butzleri
MICARTHSPP,Arthrinium spp
MICARTRBCI,Arthrobacter citreus
MICARTROBS,Artrobacter sp
MICASCALUM,Ascaris lumbricoides
MICASPERAL,Aspergillus alabamensis
MICASPERCA," Aspergillus calidoustus
"
MICASPERFL," Aspergillus flavipes
"
MICASPERGL,Aspergillus glaucus
MICASPERLE,Aspergillus lentulus
MICASPERNI,Aspergillus nidulans
MICASPEROC," Aspergillus ochraceus
"
MICASPERRE,Aspergillus restrictus
MICASPERSP,Aspergillus spp
MICASPERSY,Aspergillus sydowii
MICASPERTE,Aspergillus terreus
MICASPERTU,Aspergillus tubingensis
MICASPERVE," Aspergillus versicolor
"
MICATOPRIM,Atopobium rimae
MICATOPVAG,Atopobium vaginae
MICAUREOBA,Aureobasidium pullulans
MICAUREOBS," Aureobasidium sp
"
MICAURIIGN," Auritidibacter ignavus
"
MICBABESSP," Babesia sp
"
MICBACANAG,Bacilo anaerobio Gram negativo
MICBACGRN,Bacilo Gram negativo .
MICBACILAM,Bacillus amyloliquefaciens
MICBACILAT," Bacillus altitudinis
"
MICBACILCE,Bacillus cereus
MICBACILCI,Bacillus circulans
MICBACILCU,Bacillus clausii
MICBACILEN,Bacillus endophyticus
MICBACILFL,Bacillus flexus
MICBACILHO," Bacillus horneckiae
"
MICBACILLI,Bacillus licheniformis
MICBACILME,Bacillus megaterium
MICBACILMO," Bacillus mojavensis
"
MICBACILMU,Bacillus muralis
MICBACILMY,Bacillus mycoides
MICBACILPU,Bacillus pumilus
MICBACILSI,Bacillus simplex
MICBACILSP,Bacillus sp
MICBACILSU,Bacillus subtilis
MICBACILTH,Bacillus thuringiensis
MICBACTEFA,Bacteroides faecis
MICBACTEPY,Bacteroides pyogenes
MICBACTERC,Bacteroides caccae
MICBACTERD,Bacteroides distasonis
