ou_med_ref,ou_med_descr
,N.D.
ALE,"AL.LERGOLOGIA
"
ANE,"ANESTESIOLOGIA I REANIMACIO
"
ASM,"AVALUACIO I SUPORT METODOLOGIC
"
B-ANE,"ANESTESIOLOGIA BCL
"
B-BCL,"BARNACLÍNIC GENERAL
"
B-CAR,"CARDIOLOGIA BCL
"
B-CCV,"CIRURGIA CARDIOVASCULAR BCL
"
B-CGD,N.D.
B-CGI,"CIRURGIA GASTRO-INTESTINAL BCL
"
B-CIP,"CIR. PLASTICA I MAXILOF. BCL
"
B-CIR,"CIRURGIA GENERAL BCL
"
B-COT,"CIRURGIA ORT.I TRAUMATOL. BCL
"
B-CTR,"CIRURGIA TORACICA BCL
"
B-CVS,N.D.
B-DER,"DERMATOLOGIA BCL
"
B-DIT,"DIETÉTICA BCL
"
B-END,"ENDOCRINOLOGIA BCL
"
B-EST,"ESTOMATOLOGIA BCL
"
B-FAR,"FARMÁCIA BCL
"
B-FIR,"FECUNDACIÓ IN VITRO BCL
"
B-GAS,"GASTROENTEROLOGIA BCL
"
B-GIN,"GINECOLOGIA BCL
"
B-HBP,"CIR. HEP. I BILIO-PANCR. BCL
"
B-HEM,"HEMATOLOGIA BCL
"
B-HEP,"HEPATOLOGIA BCL
"
B-HMT,"HEMOTERÁPIA BCL
"
B-HOS,"BCL HOSPITALIZACIÓN B047
"
B-INF,"MALALTIES INFECCIOSES BCL
"
B-MAS,"MAL. AUTOIMM. I SISTEM. BCL
"
B-MDI,"MEDICINA INTERNA BCL
"
B-MNC,"MEDICINA NUCLEAR BCL
"
B-NEF,"NEFROLOGIA BCL
"
B-NMO,"PNEUMOLOGIA BCL
"
B-NRC,"NEUROCIRURGIA BCL
"
B-NRL,"NEUROLOGIA BCL
"
B-OBS,"OBSTETRÍCIA BCL
"
B-ODO,"ODONTOLOGÍA
"
B-OFT,"OFTALMOLOGIA BCL
"
B-ONC,"ONCOLOGIA MEDICA BCL
"
B-ORL,"OTORRINOLARINGOLOGIA BCL
"
B-PED,"PEDIATRIA BCL
"
B-PIJ,"PSIQUIATRIA INF.-JUVENIL BCL
"
B-PPS,"PSICOLOGIA BCL
"
B-PSI,"PSIQUIATRIA BCL
"
B-RDT,"ONCOLOGIA RADIOTERAPICA BCL
"
B-REH,"REHABILITACIÓ BCL
"
B-RHB,N.D.
B-RMT,"REUMATOLOGIA BCL
"
B-SIN,"SALUT INTERNACIONAL BCL
"
B-UME,N.D.
B-URO,"UROLOGIA BCL
"
B-UTH,"U. TRASPL HEPÁTIC BCL
"
B-UTR,"UNIT. TRASPLANTAMENT RENAL BCL
"
BANE,"ANESTESIOLOGIA BCL
"
BCAR,"CARDIOLOGIA BCL
"
BCCV,"CIRURGIA CARDIOVASCULAR BCL
"
BCGD,N.D.
BCGI,"CIRURGIA GASTRO-INTESTINAL BCL
"
BCIP,"CIR. PLASTICA I MAXILOF. BCL
"
BCIR,N.D.
BCL,"BARNACLÍNIC
"
BCLI,"BARNACLÍNIC GENERAL
"
BCOT,"CIRURGIA ORT.I TRAUMATOL. BCL
"
BCTR,"CIRURGIA TORACICA BCL
"
