prov_ref,prov_descr
0SDHF,"gen sdh-mutacio concreta (cas familiar), sang total"
100,registro orda
1000,ecocardiograma | eco doppler
10000,reavaluacio neuropsicologica
10001,altres catete.
10002,altres proves de broncoprovocacio
10003,coros + biopsia | coros + aortografia
10005,dft inmunofluorescencia indirecta | dft inmunofluoresc. indirecta
10006,exeresis simple a (electrofulguracion) | electrocoagulacio | exeresi simple a (electrofulguracio)
10007,epicutanies standard
10008,epicutanies especials / fotopach especial - per serie
10009,exploracio fotobiologica
1000B,imatge - ecocardiograma (car esport)
1001,visita ambulatoria (primera)
10011,inmunohistoquimica (unitat)
10012,fototerapia (sessio)
10014,micologia
10019,crioterapia iii (sessio)
1001DIET,primera visita dietetica
1001DOM,primera vis. csm domicili
1001E,primera visita rae
1001ES,primera educador social
1001F,primera visita enfermeria | primera visita infermeria
1001FAD,prim vis. inf addiccions dalce
1001FAG,prim vis. inf agressions
1001FCARCC,prim. vis. inf. car-ccr
1001FCCROS,prim. vis. inf. ccr-ostomies
1001FCIRHE,prim. vis. inf. cirrosi hepatica
1001FCURES,prim. vis. inf. cures ccee
1001FDEM,prim vis. inf tr. cognitius
1001FEP,prim vis. inf epilepsia nrlce
1001FIJ,prim vis. inf infanto-juvenil csmij
1001FMBF,prim. vis. inf. microbiota fecal
1001FMII,prim. vis. inf. m. inf. intestinal
1001FNI,prim vis. inf neuroimmuno
1001FONCHE,prim. vis. inf. onco. hepatica
1001FPCI,prim vis. inf psicosi incipient
1001FPER,prim vis. inf perinatal
1001FPOSTR,prim. vis. inf. post-trasp. hep.
1001FPRETR,prim. vis. inf. pre-trasp. hep.
1001FTM,prim vis. inf trs moviment nrlce
1001FTMS,prim vis. inf tms csma
1001GEN,primera visita genetista
1001H,visita ambulatoria origen hospital (primera)
1001HE,visita ambulatoria origen hospital (primera)-rae
1001HO,primera v. oxigen origen hospital
1001IU,primera visita ensayo clinico
1001IUTT,prim. visita telefonica ensayo clinico
1001L,primera visita logopeda presencial
1001O,primera vista oxigen
1001OTT,primera visita telefonica oxigenoterapia
1001PH,primera visita prehabilitacio
1001RB,primera visita risc biologic
1001TO,primera terapeuta ocupacional
1001TS,primera visita treball social
1001TSAD,prim vis. treball social addiccions
1001TSAG,prim vis. treball social agressions
1001TSBIP,prim vis. treball social t. bipolar csma
1001TSEZ,prim vis. treball social esquizofrenia
1001TSIJ,prim vis. treball social csmij
1001TSPSI,prim vis. treball social programa psi
1001TSTEA,prim vis. treball social tea csmij
1001TT,primera visita telefonica medica | primera visita telefonica medica
1001TTDIET,primera visita telefonica dietista
1001TTE,primera visita telefonica medica rae
1001TTGEN,primera visita telefonica genetista
1001TTINF,primera visita telefonica infermeria
1001TTTS,prim vis. treball social telef
1001U,visita ambulat. origen urg. (primera)
1001UE,visita ambulatoria origen urg. (primera)-rae
1001UO,primera v. oxigen origen ucies
1001VT,primera visita videollamda medica | primera visita videotrucada medica
1001VTDIET,primera visita videotrucada dietista
1001VTGEN,primera visita videotrucada genetista
