rc_sap_ref,rc_descr,units,rc_ref
ABDOMEN_DIST,Distensión abdominal,Descripción,10001
ABDO_NEO,Abdomen,Descripción,10002
ACR_DIS,Modelo de dispositivo,Descripción,10003
ACR_FIO2,FiO2 mezclador,%,10004
ACR_MOD,Modalidad de terapia de oxigenación extracorpórea,Descripción,10005
ACR_O2Q,Flujo de oxígeno,L/min,10006
ACR_OXIGENADOR,Tipo de módulo oxigenador,Descripción,10007
ACR_PART,Presión arterial postmembrana del módulo oxigenador,mm Hg,10008
ACR_PTM,,,10821
ACR_PVEN,Presión venosa premembra del módulo oxigenador,mm Hg,10009
ACR_QS,Flujo de sangre,L/min,10010
ACR_RPM,Revoluciones de la bomba centrífuga de sangre,rpm,10011
ACR_SVO2,Saturación de oxígeno venosa antes del oxigenador (premembrana),%,10012
ACR_TEMP_ART,Temperatura arterial (postmembrana del oxigenador),ºC ,10013
ACR_TEMP_VEN,Temperatura venosa (premembrana al oxigenador),ºC ,10014
ACTIV_NEO,Actividad,Descripción,10015
AC_DIS,Dispositivo utilizado para la asistencia circulatoria,Descripción,10016
AC_MOD,Modalidad de asistencia circulatoria,Descripción,10017
AC_QS_DER,Flujo de sangre corazón derecho,L/min,10018
AC_QS_IZQ,Flujo de sangre corazón izquierdo,L/min,10019
AC_RPM_DER,Revoluciones bomba centrífuga corazón derecho,rpm,10020
AC_RPM_IZQ,Revoluciones bomba centrífuga corazón izquierdo,rpm,10021
AGA_EHI_NEO,,,10857
ALDRETE,Escala de Aldrete modificada,Puntuación,10022
ALT_NEU_NEO,Alteraciones neurológicas,Descripción,10023
ANTIGENS_COV,,,10799
ANTI_XA,Actividad anti factor X activado,UI/mL,10024
APACHE_II,Valoración de gravedad del enfermo crítico,Puntuación,10025
APTEM,Tromboelastometria con corrección de la fibrinolisis con aprotinina,Descripción,10026
AR_AIRQ,,,10848
AR_DIS,Dispositivo para realizar asistencia respiratoria extracorporea,Descripción,10027
AR_FIO2,FiO2 del mezclador,%,10028
AR_MOD,Modalidad de terapia de oxigenación extracorpórea,Descripción,10029
AR_O2Q,Flujo de oxígeno,L/min,10030
AR_OXIGENADOR,Tipo de módulo oxigenador,Descripción,10031
AR_PART,Presión arterial del módulo oxigenador,mm Hg,10032
AR_PTM,,,10839
AR_PVEN,Presión venosa del módulo oxigenador,mm Hg,10033
AR_QS,Flujo de sangre,mL/min,10034
AR_RPM,Revoluciones de la bomba centrífuga de sangre,rpm,10035
AR_SVO2,Saturación de oxígeno antes del oxigenador (prefiltro),%,10036
AR_TEMP_ART,Temperatura arterial (eferente del oxigenador),ºC ,10037
AR_TEMP_VEN,Temperatura venosa (aferente al oxigenador),ºC ,10038
ASIA_DOLOR_DER,Nivel algésico derecho. Segmento más caudal de la médula espinal con función algésica normal,Descripción,10039
ASIA_DOLOR_IZQ,Nivel algésico izquierdo. Segmento más caudal de la médula espinal con función algésica normaL,Descripción,10040
ASIA_GRADO,Grado de lesión medular,Descripción,10041
ASIA_MEDULAR,Lesión medular presente completa o incompleta,Descripción,10042
ASIA_MOTOR_DER,Nivel motor derecho. Segmento más caudal de la médula espinal con función motora ? 3/5,Descripción,10043
ASIA_MOTOR_IZQ,Nivel motor izquierdo. Segmento más caudal de la médula espinal con función motora ? 3/5,Descripción,10044
ASIA_SENS_ANO,Sensibilidad anal,Descripción,10045
ASIA_TACTO_DER,Nivel sensitivo derecho. Segmento más caudal de la médula espinal con función sensitiva normal,Descripción,10046
ASIA_TACTO_IZQ,Nivel sensitivo izquierdo. Segmento más caudal de la médula espinal con función sensitiva normal,Descripción,10047
AU_PUERP,,,10800
AVLD_BAT,,,10883
AVLD_CON,,,10884
AVLD_DIS,,,10880
AVLD_PI,,,10882
AVLD_POT,,,10886
AVLD_QS,,,10881
AVLD_RPM,,,10885
BARTHEL,,,10801
BA_EXT,,,10813
BA_FLEX,,,10812
BCIAO_ASIS,Ratio de asistencia de contrapulsación,Descripción,10048
BCIAO_DIS,Tipo de balón de contrapulsación,Descripción,10049
BCIAO_SINC,Sincronización de balón de contrapulsación,Descripción,10050
BILIRRUBINA_T,Bilirrubina total,mg/dL,10051
BILIRRUBI_ORINA,,,10816
BILIRU_POC_NEO,Bilirrubina plasmática por gasómetro en neonatología,mg/dL,10052
BILI_TC_DIS_NEO,Dispositivo para evaluación bilirrubina transcutánea en neonatología,Descripción,10053
BILI_TC_NEO,Bilirrubina transcutanea en neonatología,mg/dL,10054
BIND_NEO,Graduación de la encefalopatía aguda por bilirrubina (BIND score),Descripción,10055
BIS_BSR,Brote supresión frontoparietal en BIS,%,10056
BIS_CS,Calidad de señal frontoparietal en BIS,%,10057
BIS_DIS,Tipo de dispositivo,Descripción,10058
BIS_EMG,Electromiograma frontal frontoparietal en BIS,%,10059
BIS_IDX,Indice biespectral frontoparietal en BIS,n,10060
BIS_MOD,Modalidad de registro de BIS,Descripción,10061
BIS_SEF,,,10888
BRADEN,,,10796
BROMAGE,Valoración del grado de bloqueo motor post-anestesia regional,Puntuación,10062
CA,Calcio iónico,mMol/L,10063
CABEZA,,,10064
CANG_NEO,Canguro,Descripción,10065
CANG_T_NEO,Canguro (Tiempo),min,10066
CAR_QTC,Intervalo QT corregido,ms,10067
CAR_RITM,Ritmo cardíaco,Descripción,10068
CAR_RITM_NEO,Ritmo cardíaco en neonatología,Descripción,10069
CA_POC_NEO,Calcio iónico por gasómetro en neonatología,mMol/L,10070
CEC_CER_PROT,Protección cerebral durante la circulación extracorpórea cardíaca,Descripción,10071
CEC_CIRCUIT_CAL,Calibre del circuito de circulación extracorpórea cardíaca,Descripción,10072
CEC_CIRCUIT_MOD,,,10824
CEC_CIRCUIT_PRE,,,10825
CEC_CIRCUIT_PRES,Presión del circuito de circulación extracorpórea cardíaca,mm Hg,10073
CEC_CIRCUIT_TIP,Tipo de circuito de circulación extracorpórea cardíaca,Descripción,10074
CEC_CPLEJ_MOD,Modalidad de protección miocárdica durante la circulación extracorpórea cardíaca,Descripción,10075
CEC_CPLEJ_PRES,Presión de infusión de cardioplejia durante circulación extracorpórea cardíaca,mm Hg,10076
CEC_CPLEJ_Q,Flujo de cardioplejia durante circulación extracorpórea cardíaca,L/min,10077
CEC_CPLEJ_TEMP,Temperatura administración cardioplejia durante la circulación extracorpórea cardíaca,ºC,10078
CEC_CPLEJ_TIP,Tipo de dispositivo de administración de cardioplejia durante circulación extracorpórea cardíaca,Descripción,10079
CEC_CPLEJ_VIA,Vía administración de la cardioplejia durante circulación extracorpórea cardíaca,Descripción,10080
CEC_DIS,Tipo de dispositivo para la realización de la circulación extracorpórea cardíaca,Descripción,10081
CEC_DUR_ISQUEMIA,Tiempo de duración de la fase de isquemia en la circulación extracorpórea cardíaca,min,10082
CEC_DUR_PARADA,Tiempo de duración de la fase de parada en la circulación extracorpórea cardíaca,min,10083
CEC_DUR_PERFCER,Tiempo de duración de la fase de perfusión cerebral en la circulación extracorpórea cardíaca,min,10084
CEC_DUR_TOTAL,Tiempo total de duración de la circulación extracorpórea cardíaca,min,10085
CEC_DU_ISQUEMIA,,,10826
CEC_DU_PARADA,,,10861
CEC_DU_PERFCER,,,10892
CEC_HEP_PROT,Ratio heparina:protamina durante la circulación extracorpórea cardíaca,Descripción,10086
CEC_MIO_TEMP,Temperatura miocárdica del paciente durante la circulación extracorpórea cardíaca,ºC,10087
CEC_OXIGEN_FiO2,FiO2 del mezclador para el oxigenador durante circulación extracorpórea cardíaca,%,10088
