snomed_ref,snomed_descr
109006,trastorno de ansiedad de la niñez O la adolescencia
140004,faringitis cronica
216004,delirio de persecución
219006,bebedor de alcohol
223003,tumor del cuerpo del utero que afecta al embarazo
281004,demencia asociada con alcoholismo
317006,hipoglucemia reactiva
330007,cefalea occipital
355001,choque hemorragico
364006,insuficiencia ventricular izquierda aguda
368009,valvulopatia
385006,neuropatia periferica secundaria
443006,cistocele que afecta al embarazo
563001,nistagmo
568005,trastorno de tics
613003,sindrome del cromosoma X fragil
652005,amigdalitis gangrenosa
736004,absceso de la cadera
792004,enfermedad de Jakob - Creutzfeldt
799008,ulcera de colon sigmoide
805002,neumoconiosis causada por silice
811004,miodesopsias
813001,inestabilidad de tobillo
815008,episcleritis
832007,politoxicomania
842009,consanguinidad
844005,hallazgo relacionado con la conducta
849000,catarata madura
871005,pelvis contraida
932006,afecto plano
998008,enfermedad de Chagas con compromiso del corazon
1023001,pausas de apnea
1085006,candidiasis de la vulva
1108009,alopecia de distribucion femenina
1135000,retinopatia solar
1141007,parestesia perioral
1212005,dermatomiositis infantil
1214006,infeccion causada por Strongyloides
1261007,fracturas costales
1335005,induracion de cuerpo cavernoso
1345007,padrastro
1356007,calculo del coledoco con obstruccion
1372004,utero unicorne
1386000,hemorragia intracraneal
1388004,alcalosis metabolica
1402001,miedo
1415005,linfangitis
1475003,herpes labial
1482004,quiste de la glandula de Meibomio
1493002,endoftalmitis aguda
1515008,enfermedad de gorham
1532007,faringitis viral
1538006,"anomalia congenita del sistema nervioso central en el feto, que afecta el cuidado obstetrico"
1563006,enfermedad por deficiencia de proteína S
1639007,anomalia de organos Y/O partes blandas de la pelvis que afecta el embarazo
1658003,"fractura de extremo acromial de la clavicula, no expuesta"
1705000,fractura no expuesta de base de cuello de femur
1714005,queratitis actinica
1739001,fractura de hueso occipital
1755008,infarto antiguo de miocardio
1761006,cirrosis biliar
1767005,sindrome de Fisher
1776003,acidosis tubular renal
1845001,paralisis facial
1847009,endoftalmitis
1852004,lesion traumatica de nervio motor ocular externo
1855002,trastorno del desarrollo academico
1892002,mancha en forma de estrella en la mácula
1896004,tejido mamario ectópico
1963002,hemoglobinuria paroxistica nocturna
2004005,presion arterial normal
2012002,fractura de hueso semilunar de la muñeca
2032001,edema cerebral
2043009,gastritis alcohólica
2055003,erosion recurrente de cornea
2065009,atrofia optica hereditaria dominante
2070002,ardor en ojo
2073000,ideacion delirante
2087000,nocardiasis pulmonar
2089002,osteitis deformante
2177002,neuralgia posherpetica
2228002,escotoma centelleante
2237002,dolor pleuritico
2304001,espondilodiscitis
2314005,relacion sexual no protegida
2403008,dependencia de sustancia psicoactiva
2415007,radiculopatia lumbosacra
2435008,ascaridiasis
2472002,anuria
2477008,tromboflebitis superficial
2492009,trastorno de la nutricion
2506003,distimia de inicio temprano
2528003,viremia
2538008,cetosis
2541004,compulsion por comprar
2556008,enfermedad periodontal
2576002,tracoma
2615004,quiste folicular ovarico
2622007,ulcera cutanea infectada
2640006,estadio clinico IV
2733002,talalgia
2776000,dehiscencia de herida quirurgica
2819007,intoxicación por sulfato de magnesio
2858002,sepsis puerperal
2897005,trombocitopenia inmunitaria
2899008,bloqueo mental
2901004,melenas
2904007,infertilidad masculina
2910007,secrecion del pene
2929001,oclusion arterial
2992000,degeneracion pigmentaria del globo palido
2999009,lesion traumatica del oido
3006004,alteracion de la consciencia
3110003,otitis media aguda
3135009,otitis externa
3199001,esguince de hombro
3200003,sacrocoxalgia
3218000,miastenia ocular
3228009,"fractura de diafisis del radio, no expuesta"
3238004,pericarditis
3253007,alteracion de la coloracion cutanea
3282008,queratitis de los soldadores
3283003,sensacion de cuerpo extraño ocular
3289004,anisometropia
3291007,fractura no expuesta de dos costillas
3310005,reaccion cutanea por cuerpo extraño
3321001,absceso renal
3345002,osteoporosis idiopatica
3415004,cianosis
3424008,taquicardia
3502005,linfadenitis cervical
3545003,disfuncion diastolica
3548001,trastorno del plexo braquial
3560000,hernia inguinal bilateral recurrente
3577000,degeneracion retiniana en encaje
3633001,absceso de la mano
3644009,maceracion de la epidermis
3696007,dispepsia no ulcerosa
3716002,bocio
3723001,artritis
3738000,hepatitis viral
3744001,hiperlipoproteinemia
3754002,displasia de la vagina
3830001,enfisema subcutaneo
3855007,trastorno del pancreas
3900008,polineuropatia mixta sensitivomotriz
3928002,enfermedad por virus zika
3951002,proctitis
3972004,insomnio primario
4006006,taquicardia fetal que afecta el manejo de la situacion materna
4009004,enfermedad infecciosa de las vias urinarias inferiores
4041005,anomalía congénita de la mácula
4046000,espondilolistesis degenerativa
4063001,aquilodinia
4088009,hidrocefalia adquirida
4089001,meningococcemia
4120002,bronquiolitis
4210003,hipertension ocular
4223005,parkinsonismo inducido por farmacos
4224004,complicacion de procedimiento de infusion
4240001,ruptura de la aorta
4241002,listeriosis
4273008,luxacion cerrada posterior de codo
4283007,sindrome de mirizzi
4287008,curvatura anormal del pene
4301008,estado autoinmunitario
4306003,trastorno de la personalidad del grupo b
4320005,deficiencia de factor V
4386001,broncoespasmo
4390004,nefropatía por litio
4409006,aciduria metilmalonica con homocistinuria
4416007,sindrome de heerfordt
4473006,migraña con aura
4506002,problema de educacion
4556007,gastritis
