surgery_code,surgery_code_descr
Q00001,laparoscopia diagnostica | laparoscopia diagnostica | laparoscopia diagnostica
Q00002,biopsia cerebral endoscopica | biopsia cerebral endoscopica
Q00003,biopsia cerebral percutania (estereotactica) | biopsia cerebral percutania (estereoatactica)
Q00004,biopsia cerebral oberta | biopsia cerebral oberta
Q00005,monitoritzacio de pressio intracranial (pic) <local> | monitoritzacio de pressio intracranial (pic) <local>
Q00006,monitoritzacio de pressio intracranial (pic) | monitoritzacio de pressio intracranial (pic)
Q00007,craniotomia descomprensiva | craniotomia descompressiva
Q00008,cirurgia del talem o del subtalem | cirurgia del talem o del subtalem
Q00009,cirurgia del globus pal.lid | cirurgia del globus pal.lid
Q00010,excisio d arees cerebrals epiloptogenes | excisio d arees cerebrals epiloptogenes
Q00011,excision de tumor cerebral por endoscopia | excisio de tumor cerebral per endoscopia | excisio de tumor cerebral per endoscopia
Q00012,excision de tumor cerebral | excisio de tumor cerebral
Q00013,excision de tumor de fosa posterior delcraneo | excisio de tumor de fossa posterior delcrani | excisio de tumor de fossa posterior delcrani
Q00014,elevacio de fragments de fractura cranial | elevacio de fragments de fractura cranial
Q00015,derivacion ventriculo-peritoneal | derivacio ventriculo-peritoneal | derivacio ventriculo-peritoneal
Q00016,derivacio ventricular externa | derivacio ventricular externa
Q00017,revisio de derivacio ventriculo-peritoneal | revisio de derivacio ventriculo-peritoneal
Q00018,implantacion dbs trastornos del movimiento | implantacio d electrodes cerebrals al subtalem per parkinson | implantacio dbs trastorns del moviment
Q00019,procediment endoscopic per a hidrocefalia | procediment endoscopic per a hidrocefalia
Q00020,laminectomia lumbar | laminectomia lumbar
Q00021,descompressio de conducte raquidi per tumor | descompressio de conducte raquidi per tumor
Q00022,laminectomia cervical | laminectomia cervical
Q00023,test de infusion por hidrocefalia (local) | test d infusio per hidrocefalia <local> | test d infusio per hidrocefalia <local>
Q00024,neurolisi del trigemin [tecnica de mullan] | neurolisi del trigemin [tecnica de mullan]
Q00025,exeresis de neurinoma del acustico ( por craniotomia de fosa posterior ) | excisio de neurinoma de l acustic (per craniotomia de fossa posterior) | excisio de neurinoma de l acustic (per craniotomia de fossa posterior)
Q00026,neurolisi del trigemin (per craniotomiade fossa posterior) | neurolisi del trigemin (per craniotomiade fossa posterior)
Q00027,alliberament de canal carpiana <local> | alliberament de canal carpiana <local>
Q00028,alliberament de nervi ciatic popliti extern | alliberament de nervi ciatic popliti extern
Q00029,alliberament de nervi cubital | alliberament de nervi cubital
Q00031,simpatectomia toracica bilateral ( por vtc ) | simpatectomia toracica bilateral (per vtc) | simpatectomia toracica bilateral (per vtc)
Q00032,simpatectomia toracica bilateral (per toracotomia) | simpatectomia toracica bilateral (per toracotomia)
Q00033,hemitiroidectomia
Q00034,tiroidectomia total | tiroidectomia total
Q00035,excision del conducto tiro-glos | excisio de conducte tiro-glos | excisio de conducte tiro-glos
Q00036,hipofisectomia transesfenoidal | hipofisectomia transesfenoidal | hipofisectomia transesfenoidal
Q00037,dacriocisto-rinostomia (dcr)
Q00038,liberamiento de adherencias peritoneales ( laparoscopia ) | alliberament d adherencies peritoneals (per laparoscopia) | alliberament d adherencues peritoneals (laparoscopia)
Q00039,excisio de si preauricular | excisio de si preauricular
Q00040,excisio d exostosi de conducte auditiu extern | excisio d exostosi de conducte auditiu extern
Q00041,excisio de tumor maligne d orella externa | excisio de tumor maligne d orella externa
Q00042,otoplastia bilateral | otoplastia bilateral | otoplastia bilateral
Q00043,estapedectomia
Q00044,reconstruccio de cadena ossicular | reconstruccio de cadena ossicular
Q00045,miringoplastia ( timpanoplastia tipo i ) | miringoplastia (timpanoplastia tipus i) | miringoplastia (timpanoplastia tipus i)
Q00046,"timpanoplastia (tipo ii,iii,iv o v) | timpanoplastia (tipus ii, iii, iv o v) | timpanoplastia (tipus ii, iii, iv o v)"
Q00049,drenaje transtimpanico<local> | drenatge transtimpanic <local> | drenatge transtimpanic <local>
Q00050,drenatge transtimpanic | drenatge transtimpanic
Q00051,alliberament d adherencies d orella mitjana | alliberament d adherencies d orella mitjana
Q00052,mastoidectomia atico-antrostomia | mastoidectomia. atico-antrostomia
Q00053,excisio de glom timpanic | excisio de glom timpanic
Q00054,drenatge de sac endolimfatic | drenatge de sac endolimfatic
Q00055,control d epistaxi per cauteritzacio | control d epistaxi
Q00056,polipectomia nasal endoscopica | polipectomia nasal endoscopica | polipectomia nasal endoscopica
Q00057,excision de tumor rino-sinusal (trs) | excisio de tumor rino-sinusal (trs) | excisio de tumor rino-sinusal (trs)
Q00058,septoplastia | septoplastia
Q00059,turbinectomia
Q00060,reduccio (tancada) de fractura nasal | reduccio de fractura nasal
Q00061,sutura de laceracio nasal | sutura de ferida nasal
Q00062,rino-septoplastia | rino-septoplastia
Q00063,"excisio de tumor de si frontal (osteoma, mucocele) | excisio de tumor de si frontal (osteoma, mucocele)"
Q00064,sinusectomia maxil.lar (caldwell-luc)
Q00065,antrotomia endoscopia | antrotomia endoscopica
Q00066,excisio de tumor gingival | excisio de tumor gingival
Q00067,glosectomia parcial | glossectomia parcial
Q00068,submaxil.lectomia
Q00069,parotidectomia | parotidectomia
Q00070,drenatge d absces cervical | drenatge d absces cervical
Q00071,implant osteointegrat
Q00072,uvulo-palatoplastia  (uppp) | uvulo-palatoplastia (uppp)
Q00073,uvuloplastia amb laser <local> | uvuloplastia amb laser (laup) <local>
Q00074,drenatge d absces periamigdali | drenatge d absces periamigdali
Q00075,amigdalectomia | amigdalectomia
Q00076,adeno-amigdalectomia
Q00077,adenoidectomia | adenoidectomia
Q00078,control d hemorragia postadeno-amigdalectomia | control d hemorragia postadeno-amigdalectomia
Q00079,excision de quiste branquial | excisio de quist branquial | excisio de quist branquial
